Batch,Downtime_Factor_1,Downtime_Factor_2,Downtime_Factor_3,Downtime_Factor_4,Downtime_Factor_5,Downtime_Factor_6,Downtime_Factor_7,Downtime_Factor_8,Downtime_Factor_9,Downtime_Factor_10,Downtime_Factor_11,Downtime_Factor_12
Batch,1,2,3,4,5,6,7,8,9,10,11,12
422111,0,60,0,0,0,0,15,0,0,0,0,0
422112,0,20,0,0,0,0,0,20,0,0,0,0
422113,0,50,0,0,0,0,0,0,0,0,0,0
422114,0,0,0,25,0,15,0,0,0,0,0,0
422115,0,0,0,0,0,0,0,0,0,24,0,0
422116,0,0,0,0,0,0,0,0,0,0,0,0
422117,0,10,0,0,0,5,0,0,0,0,0,0
422118,0,0,0,0,0,14,16,0,0,0,10,20
422119,0,0,0,25,0,0,0,0,0,0,0,0
422120,0,0,0,20,15,0,0,0,17,0,0,0
422121,0,0,0,0,0,0,15,0,0,0,0,0
422122,0,0,0,0,0,0,25,0,0,0,0,0
422123,0,0,0,43,0,0,30,0,0,0,0,0
422124,0,0,0,0,20,20,0,0,0,0,0,0
422125,0,0,0,0,0,0,0,0,0,0,10,10
422126,0,0,0,0,0,0,0,44,0,0,0,0
422127,0,0,0,0,0,23,0,0,0,0,0,0
422128,0,0,0,0,22,0,30,0,0,0,0,0
422129,0,0,0,0,0,0,0,0,0,0,0,15
422130,0,20,0,0,0,0,0,0,0,0,0,0
422131,0,0,0,20,0,0,0,0,0,10,0,0
422132,0,0,0,0,0,0,0,0,0,0,0,0
422133,0,0,0,0,0,0,20,0,0,0,0,0
422134,0,0,0,0,0,0,30,20,0,0,0,0
422135,0,0,0,30,0,0,0,0,0,0,0,15
422136,0,0,0,0,0,0,0,0,0,0,0,0
422137,0,0,0,0,0,0,0,30,0,15,0,0
422138,0,0,20,0,0,0,0,0,0,0,0,0
422139,0,0,0,20,0,15,0,0,0,0,0,0
422140,0,0,0,0,0,50,0,0,0,0,13,0
422141,0,0,0,0,0,0,0,0,0,0,0,7
422142,0,0,0,0,0,30,0,0,0,0,0,0
422143,0,0,0,0,0,40,18,0,0,0,0,0
422144,0,0,0,0,0,30,0,24,0,0,0,0
422145,0,0,22,0,0,0,0,0,0,0,0,0
422146,0,0,0,0,0,30,25,0,0,0,0,7
422147,0,0,0,17,0,60,30,0,0,0,0,0
422148,0,0,0,25,0,0,0,7,0,0,0,0
